Epoch [277/300], Loss: 0.4995
Epoch [278/300], Loss: 0.4986
Epoch [279/300], Loss: 0.4978
Epoch [280/300], Loss: 0.4971
Epoch [281/300], Loss: 0.4962
Epoch [282/300], Loss: 0.4957
Epoch [283/300], Loss: 0.4949
Epoch [284/300], Loss: 0.4941
Epoch [285/300], Loss: 0.4936
Epoch [286/300], Loss: 0.4928
Epoch [287/300], Loss: 0.4921
Epoch [288/300], Loss: 0.4915
Epoch [289/300], Loss: 0.4908
Epoch [290/300], Loss: 0.4904
Epoch [291/300], Loss: 0.4897
Epoch [292/300], Loss: 0.4890
Epoch [293/300], Loss: 0.4884
Epoch [294/300], Loss: 0.4881
Epoch [295/300], Loss: 0.4874
Epoch [296/300], Loss: 0.4898
Epoch [297/300], Loss: 0.5528
Epoch [298/300], Loss: 1.2176
Epoch [299/300], Loss: 1.0380
Epoch [300/300], Loss: 0.6730
class_name PIG Accuracy: 0.6506329113924051
starting!!!-----------------------------------------------
Accuracy: 0.6574074074074074
Sensitivity: 0.7241379310344828
Specificity: 0.6470588235294118
Precision: 0.2413793103448276
Ending!!!------------------------------------------------------
(0.7241379310344828, 0.6470588235294118)
              precision    recall  f1-score   support

           0       0.94      0.54      0.69       223
           1       0.22      0.44      0.29        48
           2       0.68      0.93      0.78       124

    accuracy                           0.65       395
   macro avg       0.61      0.64      0.59       395
weighted avg       0.77      0.65      0.67       395

AUC: 0.7403197109570276
